Initial loss after 1:0.7075652
train loss of iteraction 2:0.6483261
train loss of iteraction 3:0.28923422
train loss of iteraction 4:0.22831182
train loss of iteraction 5:0.21279357
train loss of iteraction 6:0.12686136
train loss of iteraction 7:0.13864075
train loss of iteraction 8:0.1372428
train loss of iteraction 9:0.12274351
train loss of iteraction 10:0.11757326
train loss of iteraction 11:0.1108285
train loss of iteraction 12:0.1068219
train loss of iteraction 13:0.10828151
train loss of iteraction 14:0.105571575
train loss of iteraction 15:0.10043056
train loss of iteraction 16:0.09578145
train loss of iteraction 17:0.097217016
train loss of iteraction 18:0.09595774
train loss of iteraction 19:0.09421684
train loss of iteraction 20:0.09226637
train loss of iteraction 21:0.091019265
train loss of iteraction 22:0.09131394
train loss of iteraction 23:0.09005859
train loss of iteraction 24:0.08772867
train loss of iteraction 25:0.088904284
train loss of iteraction 26:0.08754331
train loss of iteraction 27:0.08655397
train loss of iteraction 28:0.08438791
train loss of iteraction 29:0.08446253
train loss of iteraction 30:0.08375155
train loss of iteraction 31:0.083505
train loss of iteraction 32:0.08305642
train loss of iteraction 33:0.08173911
train loss of iteraction 34:0.08199757
train loss of iteraction 35:0.081937805
train loss of iteraction 36:0.080464974
train loss of iteraction 37:0.080835916
train loss of iteraction 38:0.08065196
train loss of iteraction 39:0.07959791
train loss of iteraction 40:0.0791612
train loss of iteraction 41:0.078845896
train loss of iteraction 42:0.07902819
train loss of iteraction 43:0.079148665
train loss of iteraction 44:0.07850719
train loss of iteraction 45:0.07805344
train loss of iteraction 46:0.07624307
train loss of iteraction 47:0.07736227
train loss of iteraction 48:0.07806801
train loss of iteraction 49:0.07762339
train loss of iteraction 50:0.07785021
train loss of iteraction 51:0.077181175
train loss of iteraction 52:0.07696147
train loss of iteraction 53:0.07664207
train loss of iteraction 54:0.07678025
train loss of iteraction 55:0.07594745
train loss of iteraction 56:0.076217026
train loss of iteraction 57:0.0773648
train loss of iteraction 58:0.07593695
train loss of iteraction 59:0.0770202
train loss of iteraction 60:0.07642744
train loss of iteraction 61:0.076563716
train loss of iteraction 62:0.07589184
train loss of iteraction 63:0.07622012
train loss of iteraction 64:0.07603586
train loss of iteraction 65:0.075931326
train loss of iteraction 66:0.07644139
train loss of iteraction 67:0.075295135
train loss of iteraction 68:0.076263
train loss of iteraction 69:0.07614058
train loss of iteraction 70:0.075637594
train loss of iteraction 71:0.074510425
train loss of iteraction 72:0.075434126
train loss of iteraction 73:0.075616665
train loss of iteraction 74:0.07590427
train loss of iteraction 75:0.07542429
train loss of iteraction 76:0.07616368
train loss of iteraction 77:0.076166295
train loss of iteraction 78:0.07537107
train loss of iteraction 79:0.07561871
train loss of iteraction 80:0.07527192
train loss of iteraction 81:0.074839845
train loss of iteraction 82:0.076207295
train loss of iteraction 83:0.07627244
train loss of iteraction 84:0.07568223
train loss of iteraction 85:0.07531166
train loss of iteraction 86:0.07622841
train loss of iteraction 87:0.07530453
train loss of iteraction 88:0.07493989
train loss of iteraction 89:0.075853795
train loss of iteraction 90:0.07511519
train loss of iteraction 91:0.074904345
train loss of iteraction 92:0.075183354
train loss of iteraction 93:0.07399408
train loss of iteraction 94:0.076184474
train loss of iteraction 95:0.07539624
train loss of iteraction 96:0.073970914
train loss of iteraction 97:0.075365216
train loss of iteraction 98:0.075889125
train loss of iteraction 99:0.07587411
train loss of iteraction 100:0.07533272
train loss of iteraction 101:0.075547636
