Initial loss after 1:0.8035773
train loss of iteraction 2:0.79384094
train loss of iteraction 3:0.78105956
train loss of iteraction 4:0.76169026
train loss of iteraction 5:0.7349154
train loss of iteraction 6:0.7000573
train loss of iteraction 7:0.6577109
train loss of iteraction 8:0.6093046
train loss of iteraction 9:0.5582615
train loss of iteraction 10:0.50559443
train loss of iteraction 11:0.45778978
train loss of iteraction 12:0.4148922
train loss of iteraction 13:0.381619
train loss of iteraction 14:0.3543005
train loss of iteraction 15:0.3334984
train loss of iteraction 16:0.3181249
train loss of iteraction 17:0.30527985
train loss of iteraction 18:0.2939812
train loss of iteraction 19:0.28449073
train loss of iteraction 20:0.27452192
train loss of iteraction 21:0.26603428
train loss of iteraction 22:0.25684026
train loss of iteraction 23:0.24673933
train loss of iteraction 24:0.23798491
train loss of iteraction 25:0.22894387
train loss of iteraction 26:0.22050005
train loss of iteraction 27:0.2142117
train loss of iteraction 28:0.2069585
train loss of iteraction 29:0.20240496
train loss of iteraction 30:0.19777109
train loss of iteraction 31:0.19312328
train loss of iteraction 32:0.18845306
train loss of iteraction 33:0.18516934
train loss of iteraction 34:0.18263054
train loss of iteraction 35:0.17910805
train loss of iteraction 36:0.17599598
train loss of iteraction 37:0.17331018
train loss of iteraction 38:0.1704666
train loss of iteraction 39:0.16858247
train loss of iteraction 40:0.16594516
train loss of iteraction 41:0.16369763
train loss of iteraction 42:0.16093656
train loss of iteraction 43:0.16004018
train loss of iteraction 44:0.15765394
train loss of iteraction 45:0.15543932
train loss of iteraction 46:0.15518408
train loss of iteraction 47:0.15323816
train loss of iteraction 48:0.15144923
train loss of iteraction 49:0.15011957
train loss of iteraction 50:0.1484735
train loss of iteraction 51:0.14665157
train loss of iteraction 52:0.14605355
train loss of iteraction 53:0.14527576
train loss of iteraction 54:0.14412478
train loss of iteraction 55:0.14299087
train loss of iteraction 56:0.14153379
train loss of iteraction 57:0.14109729
train loss of iteraction 58:0.14071423
train loss of iteraction 59:0.13883145
train loss of iteraction 60:0.13866225
train loss of iteraction 61:0.13801971
train loss of iteraction 62:0.1367504
train loss of iteraction 63:0.13612804
train loss of iteraction 64:0.13551769
train loss of iteraction 65:0.13440186
train loss of iteraction 66:0.13418591
train loss of iteraction 67:0.13303864
train loss of iteraction 68:0.13213591
train loss of iteraction 69:0.13173494
train loss of iteraction 70:0.13133208
train loss of iteraction 71:0.13067147
train loss of iteraction 72:0.12938097
train loss of iteraction 73:0.12920043
train loss of iteraction 74:0.1285451
train loss of iteraction 75:0.12761256
train loss of iteraction 76:0.1279713
train loss of iteraction 77:0.12650426
train loss of iteraction 78:0.12714943
train loss of iteraction 79:0.12638947
train loss of iteraction 80:0.12442523
train loss of iteraction 81:0.1245826
train loss of iteraction 82:0.124607205
train loss of iteraction 83:0.1241519
train loss of iteraction 84:0.123993896
train loss of iteraction 85:0.1220885
train loss of iteraction 86:0.12273064
train loss of iteraction 87:0.121880636
train loss of iteraction 88:0.12129961
train loss of iteraction 89:0.12118888
train loss of iteraction 90:0.1200186
train loss of iteraction 91:0.12065998
train loss of iteraction 92:0.119608805
train loss of iteraction 93:0.11986756
train loss of iteraction 94:0.119135514
train loss of iteraction 95:0.11823224
train loss of iteraction 96:0.118764594
train loss of iteraction 97:0.11734028
train loss of iteraction 98:0.11795749
train loss of iteraction 99:0.11787908
train loss of iteraction 100:0.116388015
train loss of iteraction 101:0.116378665
train loss of iteraction 102:0.11585209
train loss of iteraction 103:0.116352424
train loss of iteraction 104:0.11516404
train loss of iteraction 105:0.11581093
train loss of iteraction 106:0.11542033
train loss of iteraction 107:0.11498752
train loss of iteraction 108:0.11526972
train loss of iteraction 109:0.114701405
train loss of iteraction 110:0.11362225
train loss of iteraction 111:0.113991156
train loss of iteraction 112:0.1134375
train loss of iteraction 113:0.11258286
train loss of iteraction 114:0.11360789
train loss of iteraction 115:0.11254894
train loss of iteraction 116:0.11216847
train loss of iteraction 117:0.11177717
train loss of iteraction 118:0.11223251
train loss of iteraction 119:0.11146538
train loss of iteraction 120:0.11095432
train loss of iteraction 121:0.11080077
train loss of iteraction 122:0.11104804
train loss of iteraction 123:0.11045974
train loss of iteraction 124:0.11034068
train loss of iteraction 125:0.1103321
train loss of iteraction 126:0.11082445
train loss of iteraction 127:0.11059002
train loss of iteraction 128:0.109403774
train loss of iteraction 129:0.10959911
train loss of iteraction 130:0.10895051
train loss of iteraction 131:0.10884208
train loss of iteraction 132:0.108017616
train loss of iteraction 133:0.10895209
train loss of iteraction 134:0.10892739
train loss of iteraction 135:0.10753143
train loss of iteraction 136:0.108409494
train loss of iteraction 137:0.10760392
train loss of iteraction 138:0.1080711
train loss of iteraction 139:0.10777807
train loss of iteraction 140:0.10806231
train loss of iteraction 141:0.10654032
train loss of iteraction 142:0.107096806
train loss of iteraction 143:0.10642196
train loss of iteraction 144:0.106309876
train loss of iteraction 145:0.106191434
train loss of iteraction 146:0.106679216
train loss of iteraction 147:0.106149286
train loss of iteraction 148:0.10612275
train loss of iteraction 149:0.105922036
train loss of iteraction 150:0.10543324
train loss of iteraction 151:0.106161036
train loss of iteraction 152:0.105824344
train loss of iteraction 153:0.1056213
train loss of iteraction 154:0.10549338
train loss of iteraction 155:0.10460798
train loss of iteraction 156:0.10483846
train loss of iteraction 157:0.10469992
train loss of iteraction 158:0.104894266
train loss of iteraction 159:0.104347885
train loss of iteraction 160:0.10468059
train loss of iteraction 161:0.10424426
train loss of iteraction 162:0.10459271
